world seed,1.7 hut x,1.7 hut z,1.8 hut x,1.8 hut z,monument x,monument z
-8788875063804106043,1385,1337,-29319,-10887,-22359,-599
-8236619496129478676,-1175,-151,4473,4985,-32871,-26935
-8155176256951713755,-1159,-135,31097,13673,9913,-27751
-8032114577361414127,825,-359,30585,-29319,-4743,31273
-7219358831342878844,-663,2425,-21127,20329,-24919,-13911
-6961856151434833643,873,-167,21369,17769,-15463,20217
-6105531419943878460,-1687,1913,-32391,-20631,1289,13673
-5858311403397014684,-311,-215,-3207,8041,20185,9609
-5841501660850835293,2361,-1383,32121,-30343,-27495,29049
-5289809971535592037,-1687,-1687,10089,-25223,-16647,-22631
-5038388247910355155,1897,2297,-8327,-2695,-24407,25961
-4499582508949668710,-1463,-1367,20329,22393,-6279,1209
-4178251098563967692,841,1897,10601,25465,-24423,31609
-3910979708961751839,2297,857,-15495,-29319,-26935,-615
-3802406778480394473,-1671,-151,16249,29033,-28839,-215
-3441824344858437153,-919,-1895,-24199,20841,5481,18537
-2670870436278658084,1913,-1191,26473,9081,33513,-12391
-2626836527800565369,2393,1721,-8839,-10887,25225,17305
-2568078089316929747,1641,2169,-8327,-2695,-24279,21369
-1934879990631823354,-1223,-743,28537,-29831,649,-28775
-192824717792502865,2153,-1895,-21127,20841,5673,-3719
95556698719496025,-647,889,-32391,8569,-19543,21209
502209616632503807,89,2169,27001,-14999,-26375,-1159
1502916371004967302,-151,377,10105,-13463,2793,2969
2841521030329499024,873,1897,-28807,-17559,5961,-16471
3382224394425118174,-647,873,-12439,-4231,6041,-17687
3472281408932171328,-1159,1913,9065,7033,-20311,-22647
3901726147612594491,1897,-135,12153,-13975,26265,-27255
4011425161171276635,2281,-327,-11399,-5783,-20087,-28519
4325835578042323178,-1159,1369,-1175,25449,-5879,31145
4382135805816479072,2409,1897,8057,7033,-29271,31401
4811943839623455332,2121,1705,23913,25465,-13575,25993
4872503519470729039,857,889,20841,-14983,20889,16569
5016879228069981011,-167,-647,-11927,-8839,1673,-6231
6482125967263882780,-1223,-663,377,-19607,-25879,24953
7100378668137762463,745,361,33129,9593,-16519,23689
7308054945198188374,-1527,-1335,-12423,27497,-16087,-3175
7623322762617569185,345,2425,10601,-3719,2217,19833
7946607255316831899,1273,-167,-16519,-30343,-31383,25465
8146016482624774291,-1687,1385,1401,-5783,-1687,-5879
8299229132006197763,329,169,21865,23929,-10679,17785
8330253815435666020,2121,1577,23913,25465,8601,21657
8374764829556424684,-1175,-151,4473,4985,-20631,4361
8792023958232055788,-1175,-151,4473,4985,-23175,761
8894525790858188873,2057,-823,-8839,28009,-24759,-10887
9219618935537182209,1897,-151,-12439,-16007,-7303,-12647
